tamanho(bytes),latencia(s),vazao(bps), Lost Packages
 1.000000, 0.010240, 781.229655, 0.000000
 100.000000, 0.010731, 74550.298621, 0.000000
 200.000000, 0.010856, 147383.482610, 0.000000
 300.000000, 0.010717, 223939.785080, 0.000000
 400.000000, 0.010578, 302512.746501, 0.000000
 500.000000, 0.010813, 369937.634680, 0.000000
 600.000000, 0.010732, 447274.838274, 0.000000
 700.000000, 0.011004, 508899.069563, 0.000000
 800.000000, 0.010804, 592361.498477, 0.000000
 900.000000, 0.011352, 634234.759060, 0.000000
 1000.000000, 0.010646, 751473.122155, 0.000000
 1024.000000, 0.011159, 734087.234391, 0.000000
 2048.000000, 0.010967, 1493957.242039, 0.000000
 3072.000000, 0.011791, 2084359.921870, 0.000000
 4096.000000, 0.013120, 2497583.819364, 0.000000
 5120.000000, 0.012460, 3287422.318997, 0.000000
 6144.000000, 0.013256, 3707843.385258, 0.000000
 7168.000000, 0.013293, 4313805.043756, 0.000000
 8192.000000, 0.015018, 4363966.644315, 0.000000
 9216.000000, 0.015118, 4876990.405834, 0.000000
 10240.000000, 0.015310, 5350811.722667, 0.000000
 11264.000000, 0.015580, 5783972.677096, 0.000000
 12288.000000, 0.015667, 6274517.813672, 0.000000
 13312.000000, 0.015741, 6765491.015218, 0.000000
 14336.000000, 0.015807, 7255727.795487, 0.000000
 15360.000000, 0.016391, 7496635.421196, 0.000000
 16384.000000, 0.018309, 7158851.025675, 0.000000
 17408.000000, 0.018448, 7549025.790228, 0.000000
 18432.000000, 0.018178, 8111997.676251, 0.000000
 19456.000000, 0.019399, 8023555.999109, 0.000000
 20480.000000, 0.022719, 7211560.681090, 0.000000
 21504.000000, 0.023195, 7416658.942417, 0.000000
 22528.000000, 0.021509, 8379034.004027, 0.000000
 23552.000000, 0.022447, 8393800.341634, 0.000000
 24576.000000, 0.021740, 9043736.600926, 0.000000
 25600.000000, 0.021337, 9598540.721856, 0.000000
 26624.000000, 0.024561, 8671792.490190, 0.000000
 27648.000000, 0.021974, 10065811.749029, 0.000000
 28672.000000, 0.021103, 10869492.419623, 0.000000
 29696.000000, 0.021592, 11002411.810229, 0.000000
 30720.000000, 0.021520, 11419959.371537, 0.000000
 31744.000000, 0.022415, 11329380.882503, 0.000000
 32768.000000, 0.024956, 10504201.175584, 0.000000
