tamanho(bytes),latencia(s),vazao(bps), Lost Packages
 1.000000, 0.011875, 673.658115, 0.000000
 100.000000, 0.012120, 66005.039485, 0.000000
 200.000000, 0.011915, 134281.171905, 0.000000
 300.000000, 0.011494, 208804.896475, 0.000000
 400.000000, 0.012078, 264945.404688, 0.000000
 500.000000, 0.014334, 279065.289417, 0.000000
 600.000000, 0.012343, 388888.588821, 0.000000
 700.000000, 0.011035, 507496.754135, 0.000000
 800.000000, 0.011045, 579448.763149, 0.000000
 900.000000, 0.012007, 599646.375207, 0.000000
 1000.000000, 0.011446, 698906.851442, 0.000000
 1024.000000, 0.011881, 689505.411170, 0.000000
 2048.000000, 0.012154, 1348001.405265, 0.000000
 3072.000000, 0.012458, 1972697.743363, 0.000000
 4096.000000, 0.013353, 2453962.613916, 0.000000
 5120.000000, 0.012861, 3184871.858671, 0.000000
 6144.000000, 0.013113, 3748367.067264, 0.000000
 7168.000000, 0.013213, 4339926.608337, 0.000000
 8192.000000, 0.016276, 4026513.285827, 0.000000
 9216.000000, 0.014989, 4918750.244621, 0.000000
 10240.000000, 0.015819, 5178436.498200, 0.000000
 11264.000000, 0.015498, 5814565.234692, 0.000000
 12288.000000, 0.015821, 6213693.040041, 0.000000
 13312.000000, 0.016003, 6654847.879461, 0.000000
 14336.000000, 0.016314, 7030104.500228, 0.000000
 15360.000000, 0.016476, 7458330.644161, 0.000000
 16384.000000, 0.018544, 7068279.098662, 0.000000
 17408.000000, 0.018596, 7488923.691282, 0.000000
 18432.000000, 0.018623, 7917823.371798, 0.000000
 19456.000000, 0.019097, 8150454.132488, 0.000000
 20480.000000, 0.019051, 8600154.743995, 0.000000
 21504.000000, 0.019233, 8944665.179055, 0.000000
 22528.000000, 0.019390, 9294643.243938, 0.000000
 23552.000000, 0.019573, 9626349.843824, 0.000000
 24576.000000, 0.019819, 9919999.085070, 0.000000
 25600.000000, 0.019941, 10270053.600185, 0.000000
 26624.000000, 0.020222, 10532885.100205, 0.000000
 27648.000000, 0.020524, 10777044.404278, 0.000000
 28672.000000, 0.020809, 11023053.439370, 0.000000
 29696.000000, 0.020864, 11386302.963106, 0.000000
 30720.000000, 0.021183, 11601838.279552, 0.000000
 31744.000000, 0.021240, 11956323.862302, 0.000000
 32768.000000, 0.022789, 11502869.822914, 0.000000
