tamanho(bytes),latencia(s),vazao(bps), Lost Packages
 1.000000, 0.009837, 813.267373, 0.000000
 100.000000, 0.010155, 78782.417734, 0.000000
 200.000000, 0.010262, 155918.774115, 0.000000
 300.000000, 0.010641, 225539.250251, 0.000000
 400.000000, 0.010803, 296209.079179, 0.000000
 500.000000, 0.011859, 337307.566034, 0.000000
 600.000000, 0.011991, 400287.428612, 0.000000
 700.000000, 0.011433, 489819.052678, 0.000000
 800.000000, 0.010986, 582549.016038, 0.000000
 900.000000, 0.011452, 628697.966511, 0.000000
 1000.000000, 0.014115, 566758.213861, 0.000000
 1024.000000, 0.017370, 471621.894954, 0.000000
 2048.000000, 0.013184, 1242720.645996, 0.000000
 3072.000000, 0.014045, 1749821.642936, 0.000000
 4096.000000, 0.015061, 2175755.850730, 0.000000
 5120.000000, 0.015552, 2633817.114324, 0.000000
 6144.000000, 0.014439, 3404212.879660, 0.000000
 7168.000000, 0.014503, 3953885.130205, 0.000000
 8192.000000, 0.015947, 4109698.137605, 0.000000
 9216.000000, 0.017654, 4176292.313273, 0.000000
 10240.000000, 0.018155, 4512220.781553, 0.000000
 11264.000000, 0.017505, 5147767.722063, 0.000000
 12288.000000, 0.019065, 5156305.403113, 0.000000
 13312.000000, 0.018961, 5616480.691765, 0.000000
 14336.000000, 0.018284, 6272612.069725, 0.000000
 15360.000000, 0.018532, 6630640.379132, 0.000000
 16384.000000, 0.021648, 6054806.083939, 0.000000
 17408.000000, 0.022075, 6308560.660282, 0.000000
 18432.000000, 0.021564, 6837977.821647, 0.000000
 19456.000000, 0.021157, 7356950.031968, 0.000000
 20480.000000, 0.021760, 7529377.162789, 0.000000
 21504.000000, 0.021374, 8048613.315014, 0.000000
 22528.000000, 0.021399, 8422082.357495, 0.000000
 23552.000000, 0.021720, 8674960.177917, 0.000000
 24576.000000, 0.022066, 8910022.854230, 0.000000
 25600.000000, 0.023699, 8641565.338546, 0.000000
 26624.000000, 0.024959, 8533705.999180, 0.000000
 27648.000000, 0.022924, 9648781.346085, 0.000000
 28672.000000, 0.022357, 10259566.458889, 0.000000
 29696.000000, 0.023522, 10099779.937418, 0.000000
 30720.000000, 0.022125, 11107672.773215, 0.000000
 31744.000000, 0.022197, 11440949.039409, 0.000000
 32768.000000, 0.022823, 11486193.686677, 0.000000
