packetSize(bytes),latency(s),throughput(bps), LostPacket
1, 2.733283,3.224932, 0.000000
32, 3.005389, 85.180321, 0.000000
64, 2.784437, 183.879181, 0.000000
96, 2.689198, 285.587006, 0.000000
128, 2.868073, 357.034149, 0.000000
160, 3.292084, 388.811462, 0.000000
192, 2.845167, 539.862854, 0.000000
224, 2.759406, 649.415100, 0.000000
256, 2.642143, 775.128357, 0.000000
288, 2.777699, 829.463501, 0.000000
320, 2.672932, 957.749817, 0.000000
352, 2.830013, 995.048401, 0.000000
384, 2.669065, 1150.964844, 0.000000
416, 2.844430, 1170.005981, 0.000000
448, 2.724436, 1315.501587, 0.000000
480, 2.803288, 1369.820068, 0.000000
512, 2.898535, 1413.127686, 0.000000
544, 2.723157, 1598.145142, 0.000000
576, 2.905537, 1585.937378, 0.000000
608, 2.750860, 1768.174194, 0.000000
640, 2.790548, 1834.765015, 0.000000
672, 2.769517, 1941.132568, 0.000000
704, 2.957666, 1904.204224, 0.000000
736, 2.865224, 2054.987549, 0.000000
768, 2.847914, 2157.368652, 0.000000
800, 2.918553, 2192.867676, 0.000000
832, 2.798200, 2378.672119, 0.000000
864, 2.958616, 2336.227539, 0.000000
896, 2.809913, 2550.968506, 0.000000
928, 2.968694, 2500.762695, 0.000000
960, 2.939849, 2612.378906, 0.000000
992, 2.667729, 2493.760820, 0.000000
1024, 2.982687, 2746.516846, 0.000000
2048, 3.065465, 5344.703125, 0.000000
3072, 3.593566, 6838.889160, 0.000000
4096, 3.594369, 9116.482422, 0.000000
5120, 3.500499, 11701.188477, 0.000000
6144, 3.881610, 12662.786133, 0.000000
7168, 4.042976, 14183.611328, 0.000000
8192, 4.179883, 15678.908203, 0.000000
9216, 4.126452, 17867.166016, 0.000000
10240, 4.036811, 20293.246094, 0.000000
11264, 4.198644, 21462.166016, 0.000000
12288, 4.538894, 21658.138672, 0.000000
13312, 4.758079, 22382.142578, 0.000000
14336, 4.784846, 23969.003906, 0.000000
15360, 4.746777, 25887.039062, 0.000000
16384, 4.836793, 27098.947266, 0.000000
17408, 5.221721, 26670.132812, 0.000000
18432, 5.288205, 27883.941406, 0.000000
19456, 5.500581, 28296.646484, 0.000000
20480, 6.011714, 27253.458984, 0.000000
21504, 6.583461, 26130.937500, 0.000000
22528, 6.814447, 26447.339844, 0.000000
23552, 6.795782, 27725.433594, 0.000000
24576, 7.169170, 27424.095703, 0.000000
25600, 7.015840, 29191.087891, 0.000000
26624, 7.309664, 29138.410156, 0.000000
27648, 7.329344, 30177.871094, 0.000000
28672, 7.625464, 30080.267578, 0.000000
29696, 7.550411, 31464.246094, 0.000000
30720, 7.805838, 31484.126953, 0.000000
31744, 7.986383, 31798.125000, 0.000000
32768, 8.419305, 31136.062500, 0.000000
