tamanho(bytes),latencia(s),vazao(bps), Lost Packages
 1.000000, 1.165437, 6.864380, 0.000000
 100.000000, 1.187067, 673.930136, 0.000000
 200.000000, 1.386043, 1154.365063, 0.000000
 300.000000, 1.283193, 1870.333907, 0.000000
 400.000000, 1.516620, 2109.955032, 0.000000
 500.000000, 1.461003, 2737.844541, 0.000000
 600.000000, 2.398620, 2001.150662, 0.000000
 700.000000, 1.510403, 3707.618936, 0.000000
 800.000000, 1.479630, 4325.405676, 0.000000
 900.000000, 1.457040, 4941.525284, 0.000000
 1000.000000, 1.794427, 4458.248503, 0.000000
 1024.000000, 1.590243, 5151.412886, 0.000000
 2048.000000, 2.641917, 6201.558212, 0.000000
 3072.000000, 3.939797, 6237.885373, 0.000000
 4096.000000, 3.174883, 10321.009171, 0.000000
 5120.000000, 3.328563, 12305.609327, 0.000000
 6144.000000, 3.450917, 14243.172104, 0.000000
 7168.000000, 4.064440, 14108.708703, 0.000000
 8192.000000, 5.445090, 12035.797388, 0.000000
 9216.000000, 75.971147, 970.473703, 21.000000
 10240.000000, 75.909033, 1079.186447, 21.000000
 11264.000000, 43.279697, 2082.084833, 11.000000
 12288.000000, 26.938947, 3649.140451, 6.000000
 13312.000000, 22.773210, 4676.371930, 5.000000
 14336.000000, 26.360900, 4350.686054, 6.000000
 15360.000000, 201.961860, 608.431711, 58.000000
 16384.000000, 0.000000, 0.000000, 0.000000
 17408.000000, 0.000000, 0.000000, 0.000000
 18432.000000, 0.000000, 0.000000, 0.000000
 19456.000000, 0.000000, 0.000000, 0.000000
 20480.000000, 0.000000, 0.000000, 0.000000
 21504.000000, 0.000000, 0.000000, 0.000000
 22528.000000, 0.000000, 0.000000, 0.000000
 23552.000000, 0.000000, 0.000000, 0.000000
 24576.000000, 0.000000, 0.000000, 0.000000
 25600.000000, 0.000000, 0.000000, 0.000000
 26624.000000, 0.000000, 0.000000, 0.000000
 27648.000000, 0.000000, 0.000000, 0.000000
 28672.000000, 0.000000, 0.000000, 0.000000
 29696.000000, 0.000000, 0.000000, 0.000000
 30720.000000, 0.000000, 0.000000, 0.000000
 31744.000000, 0.000000, 0.000000, 0.000000
 32768.000000, 0.000000, 0.000000, 0.000000
