tamanho(bytes),latencia(s),vazao(bps), Lost packet
 1.000000, 0.009640, 829.875549, 0.000000
 100.000000, 0.031480, 25412.960938, 0.000000
 200.000000, 0.022760, 70298.765625, 0.000000
 300.000000, 0.024180, 99255.578125, 0.000000
 400.000000, 0.021850, 146453.093750, 0.000000
 500.000000, 0.057350, 69747.164062, 0.000000
 600.000000, 0.025190, 190551.796875, 0.000000
 700.000000, 0.024650, 227180.531250, 0.000000
 800.000000, 0.029770, 214981.531250, 0.000000
 900.000000, 0.025230, 285374.562500, 0.000000
 1000.000000, 0.013490, 593031.875000, 0.000000
 1024.000000, 0.037330, 219448.156250, 0.000000
 2048.000000, 0.027800, 589352.562500, 0.000000
 3072.000000, 0.030670, 801304.250000, 0.000000
 4096.000000, 0.037240, 879914.125000, 0.000000
 5120.000000, 0.031430, 1303213.500000, 0.000000
 6144.000000, 0.045990, 1068754.000000, 0.000000
 7168.000000, 0.033070, 1734018.875000, 0.000000
 8192.000000, 0.039020, 1679549.000000, 0.000000
 9216.000000, 0.027040, 2726627.250000, 0.000000
 10240.000000, 0.045790, 1789036.875000, 0.000000
 11264.000000, 0.048670, 1851489.625000, 0.000000
 12288.000000, 0.037940, 2591038.500000, 0.000000
 13312.000000, 0.039670, 2684547.500000, 0.000000
 14336.000000, 0.043000, 2667162.750000, 0.000000
 15360.000000, 0.031360, 3918367.250000, 0.000000
 16384.000000, 0.030050, 4361796.500000, 0.000000
 17408.000000, 0.042780, 3255353.250000, 0.000000
 18432.000000, 0.043140, 3418080.500000, 0.000000
 19456.000000, 0.044110, 3528633.250000, 0.000000
 20480.000000, 0.031830, 5147345.000000, 0.000000
 21504.000000, 0.046750, 3679828.750000, 0.000000
 22528.000000, 0.047040, 3831292.500000, 0.000000
 23552.000000, 0.036540, 5156431.000000, 0.000000
 24576.000000, 0.036610, 5370336.000000, 0.000000
 25600.000000, 0.043290, 4730884.500000, 0.000000
 26624.000000, 0.049410, 4310706.500000, 0.000000
 27648.000000, 0.034410, 6427899.000000, 0.000000
 28672.000000, 0.047090, 4871013.000000, 0.000000
 29696.000000, 0.048930, 4855262.500000, 0.000000
 30720.000000, 0.032930, 7463103.000000, 0.000000
 31744.000000, 0.043430, 5847386.500000, 0.000000
 32768.000000, 0.045700, 5736192.500000, 0.000000
